02GA	Doug Bolton Field	Commerce	Georgia	US	34.202599	-83.429001
02GE	Etowah Fields Airport	Euharlee	Georgia	US	34.175301	-84.924400
02ID	Morgan Ranch Airport	Cascade	Idaho	US	44.555500	-115.305000
02II	King Ultralightport	Westfield	Indiana	US	40.062302	-86.210503
02IN	Diamond P. Field	Muncie	Indiana	US	40.208900	-85.540802
02KS	Jmj Landing Airport	St Marys	Kansas	US	39.222198	-96.055298
02ME	Old Acton Airfield	Acton	Maine	US	43.537300	-70.929398
02MI	Fairplains Airpark	Greenville	Michigan	US	43.157101	-85.148499
02MN	Greenbush Municipal Airport	Greenbush	Minnesota	US	48.683300	-96.192001
02MO	Troy Airpark	Troy	Missouri	US	39.049999	-91.033501
02MS	Watts Field	Rochdale	Mississippi	US	34.100101	-90.846802
02MT	Barrett Field	Cascade	Montana	US	47.237400	-111.741997
02MU	Timber Line Airpark	Cassville	Missouri	US	36.654202	-93.797401
02NE	Benes Service Airport	Valparaiso	Nebraska	US	41.074501	-96.904503
02NV	Paiute Meadows Airport	Winnemucca	Nevada	US	41.303299	-118.598000
02OH	Zimmerman Airport	Fremont	Ohio	US	41.376400	-83.083298
02OI	Murtha Airport	Conneaut	Ohio	US	41.801998	-80.565399
02OR	Rowena Dell Airport	The Dalles	Oregon	US	45.681499	-121.316002
02PR	Cuylers Airport	Vega Baja	Vega Baja	PR	18.453300	-66.366898
02PS	Hughes Ultralightport	Tioga	Pennsylvania	US	41.900600	-77.230301
02SC	Harpers Airport	Estill	South Carolina	US	32.758499	-81.224800
02TN	Ellis Field	Murfreesboro	Tennessee	US	35.780602	-86.584198
02TX	The Palms At Kitty Hawk Airport	New Home	Texas	US	33.370403	-101.922882
02UT	Lucin Airport	Lucin	Utah	US	41.366299	-113.843002
02VA	The Greenhouse Airport	Culpeper	Virginia	US	38.435699	-77.857201
02WA	Cawleys South Prairie Airport	South Prairie	Washington	US	47.152302	-122.094002
02WI	Beer Airport	Hudson	Wisconsin	US	45.031898	-92.655800
02WN	Fowler Field	Tonasket	Washington	US	48.745800	-119.319000
02XS	Seidel Ranch Airport	Elroy	Texas	US	30.147699	-97.662804
03AZ	Thompson International Aviation Airport	Hereford	Arizona	US	31.433399	-110.084000
03CO	Kugel-Strong Airport	Platteville	Colorado	US	40.212502	-104.744003
03FA	Lake Persimmon Airstrip	Lake Placid	Florida	US	27.353100	-81.408096
03FD	Tharpe Airport	Bonifay	Florida	US	30.828800	-85.731003
03IA	East Field	Montezuma	Iowa	US	41.581902	-92.461304
03ID	Flying Y Ranch Airport	Council	Idaho	US	44.794300	-116.532997
03II	Davis Field Ultralightport	Mount Vernon	Indiana	US	37.962002	-87.778900
03IL	Wix Airport	Monee	Illinois	US	41.402302	-87.816704
03IN	Heinzman Airport	Arcadia	Indiana	US	40.180000	-86.012497
03KY	Flying H Farms Airport	Henderson	Kentucky	US	37.791698	-87.541397
03MA	Hadley Airport	Hadley	Massachusetts	US	42.393101	-72.552002
03ME	Maple Ridge Airport	Harrison	Maine	US	44.084202	-70.627296
03MN	Nauerth Land Ranch Airport	Lakefield	Minnesota	US	43.625198	-95.224701
03MO	Cahoochie Airport	Urbana	Missouri	US	37.884499	-93.131599
03MT	Cascade Airport	Cascade	Montana	US	47.270802	-111.722000
03MU	Mc Donnell Airport	Archie	Missouri	US	38.492500	-94.412498
03NC	Pilots Ridge Airport	Carolina Beach	North Carolina	US	34.104301	-77.904198
03ND	Olafson Brothers Airport	Edinburg	North Dakota	US	48.626400	-97.829002
03NE	Hyde Ranch Airport	Comstock	Nebraska	US	41.546398	-99.331200
03NV	Llama Ranch Airport	Ruby Valley	Nevada	US	40.584400	-115.297997
03NY	Talmage Field	Riverhead	New York	US	40.958401	-72.716797
03OH	Gibbs Field	Fremont	Ohio	US	41.418400	-83.017403
03OK	Sahoma Lake Airport	Sapulpa	Oklahoma	US	36.041199	-96.161400
03OR	Powwatka Ridge Airport	Troy	Oregon	US	45.855400	-117.484001
03PS	Ziggy's Field	Bellefonte	Pennsylvania	US	40.849998	-77.905602
03TA	Gay Hill Farm Airport	Gay Hill	Texas	US	30.262699	-96.500198
03TE	Barronena Ranch Airport	Hebbronville	Texas	US	27.491100	-98.669502
03UT	A Z Minerals Corporation Airport	Mexican Hat	Utah	US	37.120800	-109.986000
03WA	Spangle Field	Spangle	Washington	US	47.408199	-117.372002
03WI	Zink Airport	Berlin	Wisconsin	US	44.027500	-88.880898
03WN	Aerostone Ranch Airport	Goldendale	Washington	US	45.875000	-120.669998
03XS	Creekside Airport	Mertzon	Texas	US	31.318100	-100.753998
04AZ	Chinle Airport	Chinle	Arizona	US	36.154202	-109.551003
04CA	Gray Butte Field	Palmdale	California	US	34.563900	-117.675003
04CL	Hunt's Sky Ranch Airport	Julian	California	US	33.081699	-116.441002
04FA	Richards Field	Homestead	Florida	US	25.558701	-80.515099
04FL	Cross Creek Farms Airport	Ormond	Florida	US	29.239401	-81.222000
04IA	Middlekoop Airport	Packwood	Iowa	US	41.088299	-92.054604
04ID	Lanham Field	Emmett	Idaho	US	43.877701	-116.537003
04II	Turkey Run Airport	New Haven	Indiana	US	41.130600	-84.994102
04IL	Schertz Aerial Service - Hudson Airport	Hudson	Illinois	US	40.637501	-89.007004
04IS	Van Gorder Airport	Mansfield	Illinois	US	40.178600	-88.569000
04KY	Natchez Trace Farm Airport	Hiseville	Kentucky	US	37.135101	-85.789398
04LL	Brunner Airport	West Dundee	Illinois	US	42.136101	-88.287598
04ME	Beech Hill Airport	Mercer	Maine	US	44.666698	-69.893898
04MI	Rapids Airway Airport	Eaton Rapids	Michigan	US	42.534500	-84.628304
04MN	Helblad Airport	Kelliher	Minnesota	US	47.985802	-94.686897
04MO	Airpark Private Airport	Vandalia	Missouri	US	39.301201	-91.451500
04MS	Nick's Flying Service Inc Airport	Rolling Fork	Mississippi	US	32.939602	-90.837303
04MT	Pluhar Airport	Cohagen	Montana	US	47.137498	-106.488095
04NE	Mc Connell Field Airport	Sarben	Nebraska	US	41.160000	-101.299004
04NJ	Emmanuel Airport	Elmer	New Jersey	US	39.596802	-75.233498
04NV	Kingston Ranch Airport	Sandy Valley	California	US	35.755501	-115.665001
04NY	Klaverack Airport	Hudson	New York	US	42.262299	-73.696198
04OH	Bossow Airport	Garrettsville	Ohio	US	41.247700	-81.100700
04OR	Collins Landing Strip	Mitchell	Oregon	US	44.749901	-120.200996
04TN	Hensley Airpark	Chuckey	Tennessee	US	36.183300	-82.678902
04TX	Pocock Airport	China Spring	Texas	US	31.732201	-97.368896
04UT	Navajo Mountain Airport	Navajo Mountain Trdng Post	Utah	US	37.008301	-110.794998
04VG	Manquin Flight Park Ultralightport	Manquin	Virginia	US	37.714401	-77.211800
04VT	Lightning Bolt Field Airport	Cabot	Vermont	US	44.401100	-72.263603
04WA	Ox Meadows Airport	Spokane	Washington	US	47.581799	-117.436996
04WI	Dutch Gap Airstrip	Bristol	Wisconsin	US	42.523399	-88.016701
04WN	Stillwater Creek Airport	Royal City	Washington	US	46.963889	-119.641667
05AK	Wasilla Creek Airpark	Palmer	Alaska	US	61.668301	-149.188004
05AR	Ozark Skies Airpark	Kingston	Arkansas	US	36.000633	-93.570250
05CL	Pope Valley Airport	Pope Valley	California	US	38.610699	-122.390999
05CO	Rancho De Aereo Airport	Mead	Colorado	US	40.214984	-104.984423
05FA	Melanie's Airport	Florala	Florida	US	30.918900	-86.218300
05FL	Charlton Strip	La Belle	Florida	US	26.523100	-81.408302
05GA	Raju Airport	Richland	Georgia	US	32.071400	-84.714401
05IA	Spotts Field	Nora Springs	Iowa	US	43.137501	-93.068298
05ID	Running Creek Ranch Airport	Grangeville	Idaho	US	45.914101	-114.835999
05II	Reichhart Airport	New Haven	Indiana	US	41.028702	-84.997200
05IL	Classic Landings Airport	Bonfield	Illinois	US	41.156700	-88.016701
05IN	Cooper Airport	Belleville	Indiana	US	39.641998	-86.504204
05IS	Hardy Airport	Mount Auburn	Illinois	US	39.725899	-89.264000
05KS	Darbro Field	Elk City	Kansas	US	37.266201	-95.959198
05KY	Cartersville Airport	Berea	Kentucky	US	37.536900	-84.407204
05LA	Greg's Flying Service Airport	Baskin	Louisiana	US	32.265301	-91.697800
05LS	Grass Roots Airport	Alexandria	Louisiana	US	31.252199	-92.475800
05MD	Breezecroft Airport	Chestertown	Maryland	US	39.250099	-76.205200
05ME	Drisko Airport	Jonesboro	Maine	US	44.657001	-67.559196
05NE	Mc Kay Airport	Spalding	Nebraska	US	41.722198	-98.308998
05OI	Dorlon Airpark	Columbia Station	Ohio	US	41.288399	-81.962601
05OK	Hawk Haven Airport	Crescent	Oklahoma	US	35.853401	-97.567497
05OR	Peacock Ranch Airport	Enterprise	Oregon	US	45.441502	-117.350998
05PS	Mills Brothers Airport	Burnt Cabins	Pennsylvania	US	40.142799	-77.861900
05TA	Brandes Air Field	Sealy	Texas	US	29.809099	-96.265099
05TE	Hilde-Griff Field	Georgetown	Texas	US	30.722099	-97.791397
05TS	Dew Drop Airport	Justin	Texas	US	33.129299	-97.358597
05TX	Circle 'A' Ranch Airport	Blum	Texas	US	32.129200	-97.404198
05UT	Oljato Airport	Oljato	Utah	US	37.033298	-110.317001
05VA	Providence Airport	Farmville	Virginia	US	37.224201	-78.418602
05WI	Ames Private Airport	Darien	Wisconsin	US	42.651100	-88.745903
05WN	Flat Creek Field	Kettle Falls	Washington	US	48.702222	-118.047500
05XS	Johnson Memorial Airport	Wilmot	Arkansas	US	33.079300	-91.543198
06AK	June Lake Airpark	Wasilla	Alaska	US	61.627619	-149.575331
06AR	Bondair Airport	Higden	Arkansas	US	35.544498	-92.184898
06CO	Jecan Airport	Branson	Colorado	US	37.387501	-103.691002
06FA	William P Gwinn Airport	Jupiter	Florida	US	26.908400	-80.328903
06FD	Grass Roots Airpark	Mascotte	Florida	US	28.641701	-81.885002
06IA	Rich Field	Walford	Iowa	US	41.841400	-91.834297
06ID	Larkin Airport	Kuna	Idaho	US	43.462700	-116.359001
06IL	Humm Airport	Earlville	Illinois	US	41.599499	-88.869904
06IN	Ellis Fly-In Airport	Blackhawk	Indiana	US	39.282799	-87.303596
06IS	Sinele Strip	Nauvoo	Illinois	US	40.546398	-91.274300
06MN	Pike Field Airport	Virginia	Minnesota	US	47.651901	-92.416702
06MO	Noahs Ark Airport	Waldron	Missouri	US	39.230598	-94.804398
06MT	Torgerson Airport	Ethridge	Montana	US	48.558300	-112.109001
06NC	Tailwinds Airport	St. Pauls	North Carolina	US	34.827499	-78.930298
06ND	Fitterer's Strip	Glen Ullin	North Dakota	US	46.748901	-101.668999
06NH	Cole Farm Airport	Kensington	New Hampshire	US	42.928398	-70.973099
06NY	Murphy Field	Auburn	New York	US	42.842800	-76.445297
06OH	Hal Joy Airfield	Williamsfield	Ohio	US	41.509800	-80.591202
06OI	Green Acres Airport	New Lebanon	Ohio	US	39.734798	-84.382202
06OR	Hayden Mountain Airport	Forest Grove	Oregon	US	45.465099	-123.080002
06PA	Freefall Oz Airport	Ceres	New York	US	42.008400	-78.258102
06SN	Beyer Farm Airport	Derby	Kansas	US	37.583900	-97.253098
06TA	Glaser Field	Buckholts	Texas	US	30.908501	-97.116898
06TE	Ainsworth Airport	Cleveland	Texas	US	30.312700	-95.026901
06TN	Hunter STOLport	Columbia	Tennessee	US	35.697300	-86.956902
06TS	Roscoe Mc Connico Airport	Kerens	Texas	US	32.120701	-96.179100
06TX	Diamond N Ranch Airport	Hockley	Texas	US	30.057600	-95.812897
06R	Grawunder Field Airport	Bellville	Texas	US	29.940972	-96.245250
06VA	Mount Horeb Field	Grottoes	Virginia	US	38.249001	-78.855301
06WI	Young Private Airport	Frederic	Wisconsin	US	45.662701	-92.450203
06WN	Western Airpark	Yelm	Washington	US	46.924999	-122.553001
06XS	Campbell Field	Aubrey	Texas	US	33.324699	-97.044197
07AR	Morrilton Airport	Morrilton	Arkansas	US	35.194500	-92.800201
07CL	Richvale Airport	Richvale	California	US	39.497700	-121.771004
07CO	Comanche Creek Airport	Kiowa	Colorado	US	39.263599	-104.427002
07FA	Ocean Reef Club Airport	Key Largo	Florida	US	25.325399	-80.274803
07FD	Flying G Ranch STOLport	Lee	Florida	US	30.417999	-83.283798
07GA	Alcovy Airport	Covington	Georgia	US	33.674999	-83.763100
07ID	Interstate Airport	Malta	Idaho	US	42.278198	-113.305000
07IN	Gray Airport	Boggstown	Indiana	US	39.573700	-85.913902
07KS	Heape Field	Augusta	Kansas	US	37.734200	-96.936699
07KY	Blue Lick Airport	Louisville	Kentucky	US	38.080601	-85.693298
07MD	Baugher's Orchard Airport	Westminster	Maryland	US	39.608299	-77.051903
07MI	Scott Airstrip	Lake	Michigan	US	43.864201	-85.023903
07MN	Dairyview Airport	Hadley	Minnesota	US	44.055000	-95.909500
07MO	Lake Sexton Airport	Warrensburg	Missouri	US	38.650002	-93.616898
07MT	Glasgow Industrial Airport	Glasgow	Montana	US	48.421101	-106.528000
07NC	Hawks Meadow Airport	Waxhaw	North Carolina	US	34.833199	-80.751198
07OK	Pleasant Valley Airport	Snyder	Oklahoma	US	34.633400	-99.033699
07OR	Bruce's Airport	Milwaukie	Oregon	US	45.421799	-122.620003
07PN	Folmar Airport	Grassflat	Pennsylvania	US	40.998889	-78.125278
07SN	Churchill Airport	Phillipsburg	Kansas	US	39.772800	-99.360100
07TA	Salaika Aviation Airport	Danbury	Texas	US	29.240499	-95.344704
07TE	Cuddihy Field	Corpus Christi	Texas	US	27.721100	-97.512802
07TN	Corntassel Airport	Vonore	Tennessee	US	35.568600	-84.241096
07TS	Cross-Country Estates Airport	Georgetown	Texas	US	30.625000	-97.572800
07VA	Alpha Hotel Airport	Clover	Virginia	US	36.819599	-78.783096
07VT	Meadow STOLport	Jericho	Vermont	US	44.447201	-72.914703
07WI	Bartell Strip	Genessee Depot	Wisconsin	US	42.965302	-88.391502
08AK	Fisher Airport	Big Lake	Alaska	US	61.569639	-149.724439
08CL	Kistler Ranch Airport	Jamestown	California	US	37.859600	-120.554001
08CO	Terra Firma Airport	Rush	Colorado	US	38.732498	-104.041000
08FA	Duda Airstrip	La Belle	Florida	US	26.579800	-81.483704
08FD	Sunniland Ranch Airport	Okeechobee	Florida	US	27.363100	-80.772797
08FL	J. H. Hendrie Farms Airport	Lake Placid	Florida	US	27.084499	-81.328697
08GA	Sapelo Island Airport	Darien	Georgia	US	31.425800	-81.285896
08ID	Symms Airport	Marsing	Idaho	US	43.569302	-116.777000
08IL	Harms Airstrip	Tampico	Illinois	US	41.577000	-89.793999
08IS	Hemmer RLA Restricted Landing Area	Du Quoin	Illinois	US	37.977798	-89.202904
08KS	Alderson Airport	Bennington	Kansas	US	39.034698	-97.580002
08KY	Boss Airport	Burnside	Kentucky	US	36.972599	-84.626099
08LL	Sauer Airport	Dwight	Illinois	US	41.075298	-88.489197
08LS	Aeleron Airport	Grand Coteau	Louisiana	US	30.403601	-92.023598
08MA	Wormid Airport	Southborough	Massachusetts	US	42.293999	-71.496201
08ME	Lindbergh Airport	Avon	Maine	US	44.814201	-70.345299
08MO	Twin Oaks Airport	Jasper	Missouri	US	37.395599	-94.283798
08MS	Williams Field	Coldwater	Mississippi	US	34.662201	-89.868301
08MT	Clark Airport	Grassrange	Montana	US	47.063900	-108.817001
08NC	Whiteheart Farm Airport	Lewisville	North Carolina	US	36.067600	-80.465599
08ND	Brecht Strip	Golden Valley	North Dakota	US	47.323101	-102.098000
08NE	Laurel Municipal Airport	Laurel	Nebraska	US	42.431702	-97.079498
08NY	Md1 Airport	Middletown	New York	US	41.368099	-74.505600
08OH	Kenley Airport	Hartford	Ohio	US	41.291698	-80.563698
08OK	Parks Airport	Wilburton	Oklahoma	US	34.931499	-95.258301
08OR	Saxon Sycan Airport	Silver Lake	Oregon	US	42.839298	-121.116997
08TE	B. J. Mc Combs Sisterdale Airport	Comfort	Texas	US	29.976000	-98.743599
08TS	Puesta Del Sol Airport	La Gloria	Texas	US	26.887800	-98.507202
08TX	Cross Wind Airport	Weatherford	Texas	US	32.858200	-97.747498
08VA	Springwood Airstrip	Buchanan	Virginia	US	37.554001	-79.749802
08XS	Peterson Airport	Old Ocean	Texas	US	29.108101	-95.777496
09AK	West Beaver Airport	Big Lake	Alaska	US	61.589361	-149.847333
09AZ	Stronghold Airport	St David	Arizona	US	31.925301	-110.038002
09CL	Alta Sierra Airport	Grass Valley	California	US	39.113800	-121.056999
09CO	Cottonwood Field	Swink	Colorado	US	38.055599	-103.653000
09FA	Placid Lakes Airport	Lake Placid	Florida	US	27.245600	-81.413101
09FD	Cheryl-Lane Landings Airport	Bushnell	Florida	US	28.671101	-82.087303
09FL	Sunnybreeze Airport	Arcadia	Florida	US	27.055599	-81.970596
09GA	Sunbelt Strip	Moultrie	Georgia	US	31.111300	-83.684097
09IA	Skydive Iowa Airport	Brooklyn	Iowa	US	41.745800	-92.409302
09ID	Taylor Ranch Landing Area Airport	Moscow	Idaho	US	45.103901	-114.855003
09II	Gibbons Field	Valeene	Indiana	US	38.447300	-86.445000
09IN	Gordon Airport	Columbia City	Indiana	US	41.120899	-85.425003
09KS	Coffman Airport	Wellsville	Kansas	US	38.707001	-95.138298
09LL	Pine Hill Airport	Capron	Illinois	US	42.468102	-88.743202
09MA	Kallander Field	Southborough	Massachusetts	US	42.304298	-71.505898
09ME	Perrotti Skyranch Airfield	Berwick	Maine	US	43.340801	-70.854698
09MN	W Johnson Field	Hazel Run	Minnesota	US	44.779999	-95.663597
09MO	Hogue Farm Airport	Willard	Missouri	US	37.378399	-93.363297
09NC	William Irving Lewis Airport	Broadway	North Carolina	US	35.329300	-79.029999
09NE	Summer Hill Farm Airport	Bennington	Nebraska	US	41.333302	-96.193604
09OK	Ragtime Aerodrome	Collinsville	Oklahoma	US	36.354500	-95.863899
09PA	Eagle Field	Port Matilda	Pennsylvania	US	40.827000	-77.988098
09TA	Lazy G Bar Ranch Airport	Decatur	Texas	US	33.282101	-97.497002
09TE	Running M Ranch Airport	Glen Rose	Texas	US	32.266800	-97.866997
09TS	Pitcock Rosillos Mountain Ranch Airport	Marathon	Texas	US	29.482401	-103.165001
09TX	Smokey Mtn Ranch Airport	Sheffield	Texas	US	30.739100	-102.024002
09VA	Alum Ridge STOLport	Floyd	Virginia	US	36.976501	-80.493896
09WI	Parkway Farm Strip	Holmen	Wisconsin	US	44.003601	-91.307602
0AK0	Scotts Airport	North Pole	Alaska	US	64.392502	-146.862000
0AK1	Anderson Lake Airport	Wasilla	Alaska	US	61.616901	-149.322006
0AK2	Yentna Bend Strip	Willow	Alaska	US	61.725556	-150.678611
0AK3	Parker Lake Airport	Montana Creek	Alaska	US	62.035900	-150.494003
0AK5	Young Creek Airport	May Creek	Alaska	US	61.356499	-142.733002
0AK6	Victory Airport	Victory Bible Camp	Alaska	US	61.803398	-147.944000
0AK7	Bradley Lake Hydroelectri Project Airstrip	Homer	Alaska	US	59.776100	-150.959000
0AK9	Falcon Lake Strip	Point Mackenzie	Alaska	US	61.332600	-150.059006
0AL1	Resort Airport	Foley	Alabama	US	30.443899	-87.656898
0AL5	Flomaton Airport	Flomaton	Alabama	US	31.032200	-87.252800
0AL9	Wilson Creek Airport	Florence	Alabama	US	34.849998	-87.632500
0AR1	Hooterville South Airport	Centerville	Arkansas	US	35.094700	-93.202003
0AR2	Mission Field-Marotti Memorial Airport	Crawfordsville	Arkansas	US	35.266800	-90.350098
0AR3	Taylor's Air Strip	Deer	Arkansas	US	35.898998	-93.261002
0AR7	Yancopin Airport	Watson	Arkansas	US	33.950100	-91.181198
0AZ1	Taylor Field	Marana	Arizona	US	32.300900	-111.323997
0AZ2	Western Sky Airport	Salome	Arizona	US	33.778099	-113.641998
0AZ4	Flying Bucket Ranch Airport	Mobile	Arizona	US	32.982300	-112.287003
0AZ5	Castle Well Airport	Morristown	Arizona	US	33.865898	-112.602997
0CA1	Northside Airpark	Santa Maria	California	US	34.988300	-120.458000
0CA3	Crawford Airport	Santa Ynez	California	US	34.587502	-120.013000
0CA4	Shepherd Ranch Airport	Santa Ynez	California	US	34.622200	-120.065002
0CA5	Hoffman Private Airport	Santa Ysabel	California	US	33.143101	-116.745003
0CA6	Emory Ranch Airport	Ocotillo	California	US	32.749444	-116.016111
0CA8	Ward Ranch Airport	Aguanga	California	US	33.427799	-116.843002
0CA9	Blech Ranch Airport	Shandon	California	US	35.595001	-120.338997
0CD2	Foxx Valley Airport	Yoder	Colorado	US	38.652500	-104.234001
0CD5	Pinon Canyon Airport	Trinidad	Colorado	US	37.490501	-104.143997
0CD7	Fox Hole Airport	Lafayette	Colorado	US	40.004700	-105.071999
0CL0	Yosemite Hidden Lake Ranch Airport	Raymond	California	US	37.118000	-119.913002
0CL1	Krey Field Airport	Adelanto	California	US	34.569401	-117.556000
0CL3	John Nichol's Field Airport	Chula Vista	California	US	32.633099	-116.892998
0CL6	Bohunk's Airpark	Lancaster	California	US	34.694698	-118.282997
0CL8	Tera Ultralightport	Ridgecrest	California	US	35.591301	-117.634003
0CO1	Dave's Airport	Louisville	Colorado	US	40.033298	-105.124001
0CO2	Buckhorn Ranch Airport	Crested Butte	Colorado	US	38.851898	-106.932999
0CO3	Greggs Nr 1 Airport	Bennett	Colorado	US	39.889400	-104.544998
0CO5	Chenoweth Airport	Last Chance	Colorado	US	39.833302	-103.589996
0CO6	Flying M & M Ranch Airport	Norwood	Colorado	US	38.219398	-108.212997
0CO8	Cartwheel Airport	Mead	Colorado	US	40.208302	-105.013000
0CO9	Van Treese Airport	Monte Vista	Colorado	US	37.658298	-106.033997
0FA1	Frierson Grove Airport	Arcadia	Florida	US	27.303900	-81.880402
0FD0	Big 'G' Airport	Ormond Beach	Florida	US	29.267500	-81.230103
0FD3	Dugger Field	Freeport	Florida	US	30.496401	-86.093803
0FD5	Breezy Knoll Airport	Defuniak Springs	Florida	US	30.820200	-86.344398
0FD9	Joy Farms Airport	Defuniak Springs	Florida	US	30.652100	-86.109398
0FL0	Harper's Fly-In Ranch Airport	Clewiston	Florida	US	26.730600	-81.163902
0FL1	Thompson Airfield	Branford	Florida	US	29.983299	-82.835602
0FL6	Stanchester Airport	Lithia	Florida	US	27.805901	-82.140099
